home1sample.blkparse,fiu,arc,0,1000,1000,0,15,15,size,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,257,743,1000,0,50,50,size,25.7,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,3,997,1000,0,50,50,size,0.3,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,318,682,1000,0,100,100,size,31.8,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,265,735,1000,0,100,100,size,26.5,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,1000,1000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,1000,1000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,5000,5000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,5000,5000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,100000,100000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,100000,100000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,66,934,1000,0,16,0.1,reuse,6.6,,0.03,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,16,0.1,reuse,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,66,934,1000,0,16,0.1,reuse,6.6,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,30,970,1000,0,10,10,size,3.0,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,10,10,size,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,30,970,1000,0,10,10,size,3.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,60,940,1000,0,15,15,size,6.0,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,15,15,size,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,60,940,1000,0,15,15,size,6.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,257,743,1000,0,50,50,size,25.7,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,3,997,1000,0,50,50,size,0.3,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,278,722,1000,0,50,50,size,27.8,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,318,682,1000,0,100,100,size,31.8,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,265,735,1000,0,100,100,size,26.5,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,318,682,1000,0,100,100,size,31.8,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,1000,1000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,1000,1000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,539,461,1000,0,1000,1000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,5000,5000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,5000,5000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,539,461,1000,0,5000,5000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,100000,100000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,100000,100000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,539,461,1000,0,100000,100000,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,66,934,1000,0,16,0.1,reuse,6.6,,0.03,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,16,0.1,reuse,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,66,934,1000,0,16,0.1,reuse,6.6,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,min,91,909,1000,0,16,0.1,reuse,9.1,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,30,970,1000,0,10,10,size,3.0,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,10,10,size,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,30,970,1000,0,10,10,size,3.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,min,55,945,1000,0,10,10,size,5.5,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,60,940,1000,0,15,15,size,6.0,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,0,1000,1000,0,15,15,size,0.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,60,940,1000,0,15,15,size,6.0,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,min,85,915,1000,0,15,15,size,8.5,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,257,743,1000,0,50,50,size,25.7,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,3,997,1000,0,50,50,size,0.3,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,278,722,1000,0,50,50,size,27.8,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,min,295,705,1000,0,50,50,size,29.5,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,dlirs,539,461,1000,0,500,500,size,53.9,,0.01,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,min,539,461,1000,0,500,500,size,53.9,,0.05,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,cacheus,318,682,1000,0,100,100,size,31.8,,0.02,|('learning_rate', 0.1)|
home1sample.blkparse,fiu,arc,265,735,1000,0,100,100,size,26.5,,0.01,|('learning_rate', 0.1)|
